/usr/lib/python3.10/runpy.py:126: RuntimeWarning: 'extraction.extraction_engine' found in sys.modules after import of package 'extraction', but prior to execution of 'extraction.extraction_engine'; this may result in unpredictable behaviour
  warn(RuntimeWarning(msg))
2025-12-06 02:00:33,175 - extraction.graffiti_client - INFO - Graffiti client initialized: https://api.graffiti.ai/extract
2025-12-06 02:00:33,175 - __main__ - INFO - Graffiti client initialized
2025-12-06 02:00:33,222 - extraction.llm_fallback - INFO - LLM fallback initialized: meta-llama/llama-3.2-3b-instruct
2025-12-06 02:00:33,222 - __main__ - INFO - LLM fallback initialized
2025-12-06 02:00:33,222 - __main__ - INFO - Extraction engine ready: workers=4
2025-12-06 02:00:33,223 - __main__ - INFO - Found 36 papers
2025-12-06 02:00:33,223 - __main__ - INFO - Extracting 36 papers with 4 workers
2025-12-06 02:00:33,223 - __main__ - INFO - Extracting: 013_Patnaik_2025_6d024ae2
2025-12-06 02:00:33,223 - extraction.graffiti_client - INFO - Split text into 7 chunks
2025-12-06 02:00:33,223 - extraction.graffiti_client - INFO - Extracting from 7 chunks
2025-12-06 02:00:33,223 - __main__ - INFO - Extracting: 017_Aggarwal_2024_45bce18a
2025-12-06 02:00:33,225 - extraction.graffiti_client - INFO - Split text into 28 chunks
2025-12-06 02:00:33,225 - extraction.graffiti_client - INFO - Extracting from 28 chunks
2025-12-06 02:00:33,225 - __main__ - INFO - Extracting: 009_Ramaraj_2025_adba03b2
2025-12-06 02:00:33,225 - extraction.graffiti_client - INFO - Split text into 14 chunks
2025-12-06 02:00:33,225 - extraction.graffiti_client - INFO - Extracting from 14 chunks
2025-12-06 02:00:33,226 - __main__ - INFO - Extracting: 029_Arya_2025_f65a964a
2025-12-06 02:00:33,227 - extraction.graffiti_client - INFO - Split text into 37 chunks
2025-12-06 02:00:33,227 - extraction.graffiti_client - INFO - Extracting from 37 chunks
2025-12-06 02:00:33,362 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,363 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,364 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,366 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,368 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,369 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,370 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,371 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,372 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,373 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,373 - extraction.graffiti_client - ERROR - Chunk 0 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,373 - extraction.graffiti_client - ERROR - Chunk 1 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,374 - extraction.graffiti_client - ERROR - Chunk 2 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,374 - extraction.graffiti_client - ERROR - Chunk 3 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,374 - extraction.graffiti_client - ERROR - Chunk 4 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,374 - extraction.graffiti_client - ERROR - Chunk 5 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,374 - extraction.graffiti_client - ERROR - Chunk 6 failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,374 - __main__ - WARNING - Graffiti failed for 013_Patnaik_2025_6d024ae2: All chunks failed extraction
2025-12-06 02:00:33,374 - __main__ - INFO - Trying LLM fallback for 013_Patnaik_2025_6d024ae2
2025-12-06 02:00:33,374 - extraction.llm_fallback - INFO - Split text into 6 chunks for LLM
2025-12-06 02:00:33,374 - extraction.llm_fallback - INFO - LLM extracting from 6 chunks
2025-12-06 02:00:33,374 - extraction.llm_fallback - INFO - Processing chunk 1/6
2025-12-06 02:00:33,439 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,440 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,441 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,442 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,443 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,444 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,445 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,447 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,448 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,449 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,529 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,531 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,532 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,533 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,534 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,535 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,536 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,538 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,539 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,539 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,610 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,611 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,611 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,612 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,613 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
2025-12-06 02:00:33,613 - extraction.graffiti_client - ERROR - Extraction failed: [Errno -2] Name or service not known
